x1,y1,x2,y2
297803,2778935,297903,2779035
297803,2779035,297903,2779135
297803,2779135,297903,2779235
297803,2779235,297903,2779335
297803,2779335,297903,2779435
297803,2779435,297903,2779535
297803,2779535,297903,2779635
297803,2779635,297903,2779735
297803,2779735,297903,2779835
297803,2779835,297903,2779935
297803,2779935,297903,2780035
297803,2780035,297903,2780135
297803,2780135,297903,2780235
297803,2780235,297903,2780335
297803,2780335,297903,2780435
297803,2780435,297903,2780535
297803,2780535,297903,2780635
297803,2780635,297903,2780735
297803,2780735,297903,2780835
297803,2780835,297903,2780935
297803,2780935,297903,2781035
297803,2781035,297903,2781135
297803,2781135,297903,2781235
297803,2781235,297903,2781335
297803,2781335,297903,2781435
297803,2781435,297903,2781535
297903,2777035,298003,2777135
297903,2777135,298003,2777235
297903,2777235,298003,2777335
297903,2777335,298003,2777435
297903,2777435,298003,2777535
297903,2777535,298003,2777635
297903,2777635,298003,2777735
297903,2777735,298003,2777835
297903,2777835,298003,2777935
297903,2777935,298003,2778035
297903,2778035,298003,2778135
297903,2778135,298003,2778235
297903,2778235,298003,2778335
297903,2778335,298003,2778435
297903,2778435,298003,2778535
297903,2778535,298003,2778635
297903,2778635,298003,2778735
297903,2778735,298003,2778835
297903,2778835,298003,2778935
297903,2778935,298003,2779035
297903,2779035,298003,2779135
297903,2779135,298003,2779235
297903,2779235,298003,2779335
297903,2779335,298003,2779435
297903,2779435,298003,2779535
297903,2779535,298003,2779635
297903,2779635,298003,2779735
297903,2779735,298003,2779835
297903,2779835,298003,2779935
297903,2779935,298003,2780035
297903,2780035,298003,2780135
297903,2780135,298003,2780235
297903,2780235,298003,2780335
297903,2780335,298003,2780435
297903,2780435,298003,2780535
297903,2780535,298003,2780635
297903,2780635,298003,2780735
297903,2780735,298003,2780835
297903,2780835,298003,2780935
297903,2780935,298003,2781035
297903,2781035,298003,2781135
297903,2781135,298003,2781235
297903,2781235,298003,2781335
297903,2781335,298003,2781435
297903,2781435,298003,2781535
297903,2781535,298003,2781635
297903,2781635,298003,2781735
298003,2777035,298103,2777135
298003,2777135,298103,2777235
298003,2777235,298103,2777335
298003,2777335,298103,2777435
298003,2777435,298103,2777535
298003,2777535,298103,2777635
298003,2777635,298103,2777735
298003,2777735,298103,2777835
298003,2777835,298103,2777935
298003,2777935,298103,2778035
298003,2778035,298103,2778135
298003,2778135,298103,2778235
298003,2778235,298103,2778335
298003,2778335,298103,2778435
298003,2778435,298103,2778535
298003,2778535,298103,2778635
298003,2778635,298103,2778735
